file_name,height,width,bbox,age,race,masked,skintone,emotion,gender
69287540.jpg,1333,2000,"[890.0045011252798, 211.99999999999991, 299.99774943735935, 435.99999999999955]",20-30s,Mongoloid,unmasked,light,Happiness,Male
image_6581.jpg,1024,1024,"[232.99999999999972, 216.39858156028384, 576.2893617021272, 761.1035460992908]",40-50s,Caucasian,unmasked,light,Happiness,Male
76787856.jpg,1333,2000,"[967.6855006192803, 315.9999999999947, 247.2182177049504, 351.7414710501718]",Kid,Negroid,unmasked,mid-light,Happiness,Female
6146961.jpg,1333,2000,"[1031.5040650406502, 193.99999999999997, 282.8699186991864, 384.99999999999983]",20-30s,Mongoloid,unmasked,light,Happiness,Female
88383300.jpg,2000,2000,"[1179.2750721757845, 87.74269048241655, 70.57564234455253, 75.34426682729244]",Teenager,Caucasian,unmasked,light,Happiness,Female
image_4687.jpg,1024,1024,"[249.25383707201917, 188.16292798110962, 542.269185360095, 740.4793388429766]",20-30s,Caucasian,unmasked,light,Happiness,Female
1308736.jpg,1335,2000,"[522.464984166686, 221.99999999999997, 360.68627770829886, 484.4628876211132]",20-30s,Mongoloid,unmasked,light,Happiness,Female
image_5283.jpg,1024,1024,"[205.69264780278846, 201.02132209462175, 581.5389717041832, 746.683092114541]",20-30s,Mongoloid,unmasked,light,Happiness,Female
1869425.jpg,1328,2000,"[835.4839304837697, 226.45968311261342, 296.5482085486879, 364.6961670805687]",20-30s,Mongoloid,masked,light,Happiness,Female
70870995.jpg,1333,2000,"[1144.4650095975028, 218.79644884233647, 271.3043753780902, 344.4812937325041]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Male
53644011.jpg,1329,2000,"[798.7858473110866, 296.86020987375025, 363.2141526889135, 513.1397901262502]",20-30s,Mongoloid,unmasked,light,Happiness,Female
79111236.jpg,1333,2000,"[1158.9067321854443, 189.86340168929837, 244.09326781455528, 304.13659831070197]",20-30s,Caucasian,unmasked,mid-light,Happiness,Female
358609.jpg,2000,1339,"[795.609144016404, 761.9999999999983, 275.751770385236, 368.5692143136036]",20-30s,Mongoloid,unmasked,light,Happiness,Female
73525529.jpg,1333,2000,"[843.5621883751107, 160.00000000000003, 265.43781162488654, 385.3667667067767]",40-50s,Caucasian,unmasked,light,Neutral,Male
9558161.jpg,1333,2000,"[361.4223758082832, 210.60929138003078, 432.60716028190285, 538.1731894541368]",20-30s,Mongoloid,unmasked,light,Neutral,Female
72264906.jpg,1199,2000,"[1212.1847983023952, 236.75590534254306, 195.67007746504038, 275.6713235173747]",40-50s,Negroid,masked,mid-dark,Happiness,Male
22112711.jpg,1335,2000,"[1119.662205339971, 330.9103698575241, 270.51022267657095, 252.16915035100374]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
83876612.jpg,2000,1333,"[527.4658631548944, 349.30683030910205, 353.34779158314836, 511.4951212077853]",20-30s,Negroid,unmasked,dark,Neutral,Female
61769739.jpg,1333,2000,"[688.0379969144253, 374.99999999999693, 224.26697016448136, 299.46719315611955]",20-30s,Mongoloid,unmasked,light,Neutral,Female
74977127.jpg,2000,1333,"[544.996195795322, 521.9999999999998, 295.1379111763889, 412.00000000000165]",Teenager,Negroid,unmasked,mid-dark,Happiness,Female
63805718.jpg,1333,2000,"[867.9982495623909, 275.00000000000017, 340.00300075018794, 347.9999999999997]",20-30s,Caucasian,unmasked,mid-dark,Neutral,Female
77439992.jpg,1125,2000,"[860.0311814505054, 153.20991316658052, 270.76258225939085, 405.7900868334182]",20-30s,Caucasian,unmasked,light,Happiness,Male
76780279.jpg,1334,2000,"[887.0047026934054, 299.0000000000002, 268.995297306596, 363.9999999999997]",20-30s,Mongoloid,unmasked,light,Happiness,Male
64516176.jpg,1333,2000,"[867.1533633225233, 262.9471652589177, 414.90269046781236, 598.0528347410824]",Senior,Caucasian,unmasked,light,Happiness,Female
64606438.jpg,2000,1333,"[889.3387755462248, 937.7500042463888, 180.81758239818365, 278.0789487093902]",20-30s,Mongoloid,unmasked,mid-light,Neutral,Male
1382784.jpg,1328,2000,"[466.0, 85.47025122298531, 540.4753492365217, 783.1429054662077]",20-30s,Mongoloid,unmasked,light,Neutral,Female
4741433.jpg,2000,1240,"[269.6575616410414, 515.9999999999998, 99.34243835895829, 130.99999999999986]",20-30s,Mongoloid,unmasked,light,Happiness,Female
9745386.jpg,2000,1333,"[453.63524686328475, 577.0165898516892, 403.5414160099309, 508.2180046023162]",20-30s,Mongoloid,unmasked,light,Happiness,Female
71604564.jpg,1333,2000,"[973.4266122728005, 401.00000000000034, 184.55623708963415, 237.73299008619736]",20-30s,Caucasian,unmasked,light,Happiness,Female
42011962.jpg,2000,1334,"[593.5233289585232, 141.03264534421194, 200.2383355207381, 273.47143532381443]",20-30s,Caucasian,unmasked,mid-dark,Neutral,Female
image_8582.jpg,1024,1024,"[172.61483230695413, 164.6670859906601, 566.2187106883756, 794.0303458326403]",40-50s,Caucasian,unmasked,light,Neutral,Female
46315777.jpg,1333,2000,"[786.5036146949994, 204.54920264583623, 397.62486255321704, 516.3056620565567]",Kid,Caucasian,unmasked,mid-light,Happiness,Male
49516090.jpg,1333,2000,"[441.0047511877971, 201.99999999999991, 397.99099774943664, 580.9999999999998]",20-30s,Negroid,unmasked,mid-light,Happiness,Female
86692903.jpg,1387,2000,"[1688.6819201511075, 85.0234941852039, 218.05419136858146, 308.8418315118694]",Kid,Caucasian,unmasked,mid-dark,Happiness,Female
85520955.jpg,2000,1333,"[434.9999999999968, 331.0000000000006, 390.9999999999971, 481.38222062274747]",20-30s,Caucasian,unmasked,light,Neutral,Female
63382414.jpg,1333,2000,"[1366.000000000008, 106.00000000000038, 209.024976117508, 221.92820633328836]",20-30s,Mongoloid,unmasked,light,Neutral,Female
76777448.jpg,1333,2000,"[685.0017504376086, 311.0000000000001, 274.998499624906, 335.99999999999955]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
image_8626.jpg,1024,1024,"[214.99999999999997, 151.98229043683577, 580.5525383707201, 792.67414403778]",40-50s,Caucasian,unmasked,light,Happiness,Female
5031206.jpg,2000,1313,"[532.9988999999998, 340.99999999999966, 308.0010999999999, 404.9999999999996]",20-30s,Mongoloid,unmasked,light,Neutral,Female
2995593.jpg,1328,2000,"[757.8142765889395, 310.30915150060866, 575.9464627914555, 723.4713809638002]",20-30s,Mongoloid,unmasked,light,Happiness,Female
image_8298.jpg,1024,1024,"[228.5151515151507, 203.72727272727363, 579.8585858585847, 787.7070707070706]",20-30s,Caucasian,unmasked,light,Neutral,Male
87708026.jpg,923,2000,"[1249.9999999999998, 159.90222984562604, 142.40506329113867, 237.47855917667226]",20-30s,Caucasian,unmasked,mid-dark,Happiness,Female
14337560.jpg,1333,2000,"[261.1092182185533, 382.19406609249796, 158.31262542516023, 200.2120755723773]",20-30s,Mongoloid,unmasked,light,Happiness,Female
image_7096.jpg,1024,1024,"[189.11714745196056, 204.11774176236995, 567.6428525480399, 693.7336868090589]",Baby,Mongoloid,unmasked,light,Happiness,Female
8584243.jpg,2000,1333,"[599.1484522775697, 618.9999999999978, 323.8515477224252, 446.2829199708011]",20-30s,Mongoloid,unmasked,light,Happiness,Female
73208751.jpg,2000,1333,"[396.9999999999997, 986.4556420359107, 313.2375485274293, 305.2405966068203]",Kid,Mongoloid,unmasked,light,Neutral,Male
81137150.jpg,1335,2000,"[1061.718578629495, 243.6488131588493, 240.57482242473512, 354.9190413030072]",20-30s,Caucasian,unmasked,light,Happiness,Female
91521231.jpg,1333,2000,"[1466.8802948029042, 289.0401697628056, 236.11970519709416, 325.3311942274232]",20-30s,Mongoloid,unmasked,light,Happiness,Female
76422385.jpg,2000,1334,"[663.0034999999995, 195.99999999999997, 150.9975, 220.99999999999972]",20-30s,Mongoloid,unmasked,light,Neutral,Female
image_7273.jpg,1024,1024,"[253.88571428571436, 199.44571428571405, 535.2057142857145, 782.8628571428569]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
69954095.jpg,2000,1333,"[532.0000000000003, 902.7320538214601, 283.9053609303007, 341.26794617854017]",20-30s,Mongoloid,unmasked,light,Happiness,Female
85932643.jpg,1453,2000,"[284.9525691699604, 137.88435374149657, 110.07114624505937, 140.11564625850332]",20-30s,Caucasian,unmasked,mid-light,Happiness,Female
image_7765.jpg,1024,1024,"[236.2424242424244, 163.90909090909085, 572.7575757575753, 768.7272727272722]",20-30s,Caucasian,unmasked,light,Neutral,Female
65974799.jpg,1333,2000,"[1258.7531044339771, 360.5829431638797, 167.75310443397717, 175.61524916560748]",20-30s,Caucasian,unmasked,light,Neutral,Male
71040633.jpg,2000,1333,"[448.92171511412556, 254.45474651061818, 530.8669432069482, 670.5615761614863]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
76211704.jpg,1333,2000,"[1186.5738013186337, 151.85968426337453, 382.42619868135466, 484.39822101563533]",20-30s,Mongoloid,unmasked,light,Sadness,Female
60884334.jpg,1334,2000,"[1301.7804624695716, 145.7783404772085, 240.10459114531088, 332.6656116052284]",20-30s,Caucasian,unmasked,light,Happiness,Female
85106871.jpg,1054,2000,"[883.5657905911536, 156.00000000000003, 160.43420940884764, 216.0000000000001]",20-30s,Mongoloid,unmasked,light,Happiness,Female
5745039.jpg,1333,2000,"[1296.999999999989, 400.99999999999545, 233.53081813687734, 245.3349261978953]",20-30s,Mongoloid,unmasked,light,Neutral,Female
image_3342.jpg,1024,1024,"[237.48292682926774, 135.99512195121937, 593.2195121951222, 794.5121951219508]",20-30s,Mongoloid,unmasked,light,Happiness,Male
73359268.jpg,1334,2000,"[729.2557192088145, 240.99999999999963, 222.37214039559257, 278.9999999999996]",20-30s,Caucasian,unmasked,light,Happiness,Female
14376503.jpg,1331,2000,"[808.7713803861315, 228.99999999999983, 419.2286196138669, 550.9999999999993]",20-30s,Mongoloid,unmasked,light,Happiness,Female
72767602.jpg,2000,1334,"[576.3115020427617, 64.03723495430155, 388.77138378053917, 462.0664077638542]",20-30s,Caucasian,unmasked,mid-light,Fear,Female
2577313.jpg,1328,2000,"[1097.8376581797368, 471.90384687505207, 336.16234182026244, 354.29888154487406]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
image_5605.jpg,1024,1024,"[97.88780487804864, 159.0682926829266, 627.3756097560964, 794.117073170731]",40-50s,Caucasian,unmasked,light,Anger,Female
94986390.jpg,1897,2000,"[787.0217219943727, 538.8258387079982, 376.54352281463105, 519.3483225840051]",Kid,Negroid,unmasked,mid-light,Happiness,Male
36059023.jpg,1430,2000,"[889.6090878801489, 331.9999999999999, 216.39091211985115, 272.00000000000006]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Male
image_7478.jpg,1024,1024,"[286.21951219512124, 136.8292682926827, 601.882926829268, 865.0097560975613]",40-50s,Caucasian,unmasked,light,Happiness,Male
61799191.jpg,1334,2000,"[1125.7788591550932, 194.67321084239504, 292.3025502345505, 413.6928433695905]",40-50s,Mongoloid,masked,mid-light,Neutral,Male
92341656.jpg,1333,2000,"[1021.6285022659748, 244.94235933437423, 185.32835141147672, 254.01324575365828]",20-30s,Mongoloid,unmasked,light,Neutral,Female
74731311.jpg,1330,2000,"[1277.9999999999995, 272.0809783047452, 216.15877363982756, 231.9190216952544]",20-30s,Mongoloid,unmasked,light,Neutral,Female
61975728.jpg,1333,2000,"[701.417683524713, 347.9662113399276, 229.76707340988483, 265.14402827342616]",40-50s,Caucasian,unmasked,light,Happiness,Female
60250767.jpg,1334,2000,"[786.6336831584201, 160.10509999999982, 389.805897051474, 529.5025999999984]",20-30s,Mongoloid,unmasked,light,Happiness,Female
77541240.jpg,1334,2000,"[898.4533566796457, 226.23029167899242, 238.31996498053243, 340.7697083210075]",20-30s,Caucasian,unmasked,light,Happiness,Male
67325975.jpg,1333,2000,"[830.8123356349247, 243.26446215226053, 338.4082607636954, 526.7355378477398]",20-30s,Caucasian,unmasked,mid-light,Neutral,Female
image_1590.jpg,1024,1024,"[231.99999999999991, 166.0780487804877, 582.9999999999999, 791.6487804878051]",40-50s,Caucasian,unmasked,mid-light,Happiness,Male
25780939.jpg,1333,2000,"[987.4707569590012, 313.9035915952295, 247.82976540621772, 325.22042222704823]",40-50s,Mongoloid,unmasked,light,Happiness,Female
66541047.jpg,1333,2000,"[512.0052513128281, 365.00000000000017, 325.9987496874203, 426.9999999999995]",20-30s,Caucasian,unmasked,mid-light,Happiness,Female
image_6413.jpg,1024,1024,"[226.78723404255297, 215.2085106382978, 565.3801418439708, 725.4340425531913]",Senior,Caucasian,unmasked,light,Happiness,Female
image_1195.jpg,1024,1024,"[196.58685446009372, 157.02347417840372, 572.7981220657272, 811.2535211267601]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
6083832.jpg,1330,2000,"[1234.9917269663185, 221.99999999999923, 310.0095458080941, 391.00000000000006]",20-30s,Mongoloid,unmasked,light,Happiness,Female
32044274.jpg,1333,2000,"[1039.536590537481, 303.90862134856883, 290.03413703253375, 391.09137865143157]",20-30s,Mongoloid,unmasked,light,Neutral,Female
87634463.jpg,1333,2000,"[1465.1250779635102, 481.35714958706376, 334.2569661009769, 252.3214252064683]",20-30s,Mongoloid,unmasked,light,Happiness,Female
8885875.jpg,1333,2000,"[1186.3188831788257, 318.0731001234444, 389.021675231754, 510.11387213306506]",20-30s,Mongoloid,unmasked,light,Happiness,Female
8313105.jpg,2000,1333,"[440.99999999999966, 337.7893572097622, 257.3175126009543, 349.48425711609445]",40-50s,Mongoloid,unmasked,mid-light,Anger,Female
image_5461.jpg,1024,1024,"[225.87941240239022, 204.15367609860562, 576.2198531005974, 772.3970620119512]",20-30s,Caucasian,unmasked,light,Happiness,Male
38680623.jpg,1500,2000,"[1105.2258778593812, 514.4155254635666, 133.00477859370093, 104.07176383329029]",20-30s,Mongoloid,unmasked,light,Neutral,Female
image_8771.jpg,1024,1024,"[193.30564319596994, 168.29571202686776, 541.6063208073883, 823.2424351220834]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
76610793.jpg,1605,2000,"[475.4372617475138, 118.85780499999873, 415.4785721589727, 544.1421950000005]",20-30s,Caucasian,unmasked,light,Happiness,Female
image_4837.jpg,1024,1024,"[225.71664698937448, 155.9244391971664, 595.0153482880751, 799.3152302243217]",20-30s,Mongoloid,unmasked,light,Happiness,Female
76749508.jpg,1333,2000,"[627.1765838150653, 184.99999999999883, 340.12604441147465, 429.3566718842865]",20-30s,Caucasian,unmasked,light,Happiness,Female
72001651.jpg,1333,2000,"[894.0587738454216, 507.8037183882889, 161.72200643474937, 168.43159749867485]",Kid,Negroid,unmasked,mid-dark,Happiness,Female
16766990.jpg,1333,2000,"[630.9999999999981, 173.81916648672046, 280.2703302551767, 427.26685021104424]",Senior,Mongoloid,unmasked,light,Happiness,Male
63294563.jpg,2000,1333,"[602.2484094380771, 426.96737058447155, 196.36150982351185, 258.8186705802662]",20-30s,Mongoloid,unmasked,light,Happiness,Female
79087620.jpg,1333,2000,"[1293.04955275428, 184.58493272317457, 75.9504472457156, 111.2189058124445]",20-30s,Caucasian,unmasked,mid-dark,Neutral,Female
60385707.jpg,1333,2000,"[409.00150037509354, 152.99999999999991, 243.9944986246557, 318.9999999999997]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
63164301.jpg,2000,1334,"[521.0262235955244, 161.48685199098432, 337.84567936643003, 437.32893435378645]",20-30s,Mongoloid,unmasked,light,Happiness,Female
75006330.jpg,1359,2000,"[1121.9999999999995, 105.82253668447588, 292.64959853734314, 345.87710954548805]",20-30s,Caucasian,unmasked,light,Happiness,Female
62022019.jpg,1333,2000,"[737.9999999999951, 127.69986924986411, 255.2677266819563, 337.9003922504073]",20-30s,Caucasian,unmasked,mid-light,Happiness,Female
78377269.jpg,1250,2000,"[1471.864014712503, 296.1645671182639, 66.02640042492163, 190.11391050897632]",20-30s,Caucasian,unmasked,light,Neutral,Male
image_6760.jpg,1024,1024,"[235.30303030302986, 172.12121212121184, 584.8080808080806, 808.4949494949486]",Senior,Caucasian,unmasked,light,Happiness,Male
image_6181.jpg,1024,1024,"[263.3056431959699, 204.2708841041127, 531.1810375778343, 715.9882583012621]",Teenager,Caucasian,unmasked,light,Happiness,Male
image_2920.jpg,1024,1024,"[233.3943661971832, 174.19718309859164, 569.9906103286379, 762.1877934272281]",40-50s,Caucasian,unmasked,mid-light,Neutral,Male
46961701.jpg,784,2000,"[85.96802376440719, 457.4471029350889, 162.18337256394466, 204.96238282153]",20-30s,Mongoloid,unmasked,light,Neutral,Male
image_6354.jpg,1024,1024,"[301.17607199328313, 156.77246163156954, 608.7607199328306, 799.3354367032766]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
7982341.jpg,2000,1333,"[644.9999999999932, 260.9999999999991, 153.00515539305363, 206.99999999999872]",20-30s,Mongoloid,unmasked,light,Happiness,Female
379487.jpg,1333,2000,"[237.63115666132987, 547.4383671008135, 255.0696827715504, 296.4522407138725]",20-30s,Mongoloid,unmasked,light,Happiness,Female
image_6780.jpg,1024,1024,"[128.4057142857143, 160.76571428571424, 598.3828571428573, 774.2342857142845]",20-30s,Caucasian,unmasked,mid-light,Neutral,Female
49226388.jpg,1333,2000,"[1177.9999999999934, 13.000000000000322, 819.0002455735447, 965.8608877061628]",20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
77219995.jpg,1334,2000,"[337.00308059954926, 266.00000000000006, 569.0020537330316, 641.9999999999983]",20-30s,Mongoloid,unmasked,light,Happiness,Female
42265041.jpg,1334,2000,"[1240.704469704003, 112.34800637627278, 284.2795860329369, 394.38648932586085]",Senior,Mongoloid,unmasked,mid-light,Happiness,Female
72282577.jpg,1333,2000,"[706.1518987341766, 0.0, 707.2784810126574, 876.16864608076]",Baby,Mongoloid,unmasked,light,Happiness,Male
image_1837.jpg,1024,1024,"[121.65727699530505, 148.71830985915466, 624.1971830985908, 799.7230046948328]",40-50s,Caucasian,unmasked,light,Disgust,Female
74336067.jpg,1333,2000,"[1002.5160411888829, 479.29081776865473, 165.74651845280277, 232.41196466706003]",20-30s,Mongoloid,unmasked,mid-light,Anger,Male
73910470.jpg,1333,2000,"[1156.1406367438842, 315.0932175918195, 310.91668754467787, 411.41061788529686]",20-30s,Mongoloid,unmasked,light,Neutral,Female
59266352.jpg,1333,2000,"[762.4249065209342, 257.34091462206413, 196.5750934790595, 255.65908537793166]",Teenager,Caucasian,unmasked,light,Neutral,Female
2518514.jpg,1333,2000,"[284.0, 264.09736563638336, 319.5784693554604, 398.0857561156525]",20-30s,Mongoloid,unmasked,light,Neutral,Female
39746065.jpg,1333,2000,"[637.6117032098282, 370.98797896318547, 519.3590387656009, 654.5783621337333]",20-30s,Mongoloid,unmasked,light,Neutral,Female
93415073.jpg,1333,2000,"[818.7305117219623, 180.3165988189475, 656.2694882780368, 895.68340118105]",Kid,Caucasian,unmasked,light,Fear,Male
106694219.jpg,2000,1333,"[351.8521089896945, 433.48195236745244, 154.66874915695306, 200.11265591975655]",20-30s,Mongoloid,unmasked,light,Happiness,Male
85644979.jpg,2000,1333,"[705.9954999999989, 593.9999999999972, 314.0004999999997, 425.0000000000009]",20-30s,Mongoloid,unmasked,mid-dark,Sadness,Male
47654254.jpg,2000,1333,"[637.1552618343848, 635.357913815116, 89.8266928007357, 123.13409650181379]",Teenager,Caucasian,unmasked,mid-light,Neutral,Female
85597361.jpg,2000,1334,"[740.097368455343, 438.63539281847613, 249.05701752480945, 315.48258324311064]",20-30s,Mongoloid,unmasked,light,Happiness,Female
85517401.jpg,2000,1333,"[578.9380573767407, 391.00000000000125, 311.8192613495622, 319.60243961560786]",Senior,Caucasian,unmasked,light,Neutral,Male
101123852.jpg,1333,2000,"[1037.1376799945401, 290.3548695746365, 142.22203992465037, 185.64513042536228]",20-30s,Caucasian,unmasked,light,Neutral,Male
44393493.jpg,1333,2000,"[829.0025006251552, 319.00000000000017, 465.9932483120775, 544.9999999999985]",20-30s,Mongoloid,unmasked,light,Neutral,Female
